@RELATION fullstop

             @ATTRIBUTE three_before_numeric {TRUE, FALSE}

             @ATTRIBUTE two_before_type {fullstop, numeric, other}

             @ATTRIBUTE two_after_fullstop {TRUE, FALSE}

             @ATTRIBUTE one_after_type {lower, capital_common, np, comma, fullstop, numeric, quotes, other}

             @ATTRIBUTE one_before_type {title, abbrev, internal, quotes, time, other}

             @ATTRIBUTE one_before_contains_fullstop {TRUE, FALSE}

             @ATTRIBUTE one_before_capitals integer

             @ATTRIBUTE one_after_length integer

             @ATTRIBUTE one_before_length integer

             @ATTRIBUTE words_since_EOS integer

             @ATTRIBUTE words_until_EOS integer

             @ATTRIBUTE spaces_following integer

             @ATTRIBUTE class {EOS, NEOS}

             @DATA
FALSE,other,FALSE,np,other,FALSE,0,3,10,140,0,0,EOS
FALSE,other,FALSE,np,quotes,FALSE,0,3,2,67,0,0,EOS
TRUE,other,FALSE,np,other,TRUE,0,3,1,31,0,0,EOS
FALSE,other,FALSE,capital_common,other,FALSE,0,2,7,208,75,1,EOS
FALSE,other,FALSE,np,other,FALSE,0,3,7,29,0,0,EOS
FALSE,other,FALSE,numeric,other,FALSE,1,3,1,87,111,1,NEOS
FALSE,other,FALSE,capital_common,other,FALSE,0,1,7,4,65,2,EOS
FALSE,other,FALSE,np,other,FALSE,0,3,7,17,0,0,EOS
FALSE,other,FALSE,capital_common,other,FALSE,0,3,9,27,93,2,EOS
FALSE,other,FALSE,np,other,FALSE,0,3,8,154,0,0,EOS
FALSE,other,FALSE,capital_common,other,FALSE,0,4,12,136,41,2,EOS
FALSE,other,FALSE,np,other,FALSE,0,3,4,30,0,0,EOS
FALSE,other,FALSE,capital_common,other,FALSE,1,2,6,22,384,2,EOS
FALSE,other,FALSE,capital_common,other,FALSE,0,8,9,211,32,2,EOS
FALSE,other,FALSE,np,quotes,FALSE,0,3,2,28,0,0,EOS
FALSE,other,TRUE,other,other,FALSE,1,1,1,41,26,1,NEOS
FALSE,fullstop,FALSE,other,other,FALSE,1,4,1,38,3,1,NEOS
FALSE,other,FALSE,other,other,FALSE,0,2,3,33,21,2,EOS
FALSE,other,FALSE,other,title,FALSE,1,5,3,30,7,2,NEOS
FALSE,other,FALSE,capital_common,other,FALSE,0,2,5,7,22,1,EOS
FALSE,other,FALSE,other,title,FALSE,1,6,2,1,33,2,NEOS
FALSE,other,FALSE,capital_common,other,FALSE,0,4,4,56,81,2,EOS
FALSE,other,FALSE,other,other,FALSE,0,1,9,206,377,2,EOS
FALSE,other,FALSE,other,other,FALSE,0,8,9,29,10,2,EOS
FALSE,other,FALSE,capital_common,quotes,FALSE,0,2,2,48,11,2,EOS
FALSE,other,FALSE,np,other,FALSE,0,3,8,341,0,0,EOS
FALSE,other,FALSE,capital_common,other,FALSE,0,4,8,77,134,1,EOS
FALSE,other,FALSE,capital_common,other,FALSE,0,2,11,138,97,1,EOS
FALSE,other,FALSE,other,other,FALSE,0,7,2,34,55,2,EOS
FALSE,other,FALSE,capital_common,other,FALSE,0,5,2,16,23,2,EOS
FALSE,other,FALSE,capital_common,other,FALSE,1,4,7,172,120,1,EOS
FALSE,other,FALSE,capital_common,other,FALSE,1,4,2,50,71,1,EOS
FALSE,other,FALSE,capital_common,other,FALSE,0,3,7,42,16,2,EOS
FALSE,other,FALSE,other,other,FALSE,0,2,3,47,21,2,EOS
FALSE,fullstop,FALSE,quotes,other,FALSE,1,2,1,44,106,0,NEOS
FALSE,other,FALSE,comma,abbrev,FALSE,1,1,3,82,12,0,NEOS
FALSE,other,FALSE,capital_common,other,FALSE,0,4,4,84,81,2,EOS
FALSE,other,FALSE,capital_common,abbrev,FALSE,0,2,2,9,23,2,EOS
FALSE,other,FALSE,capital_common,other,FALSE,0,3,5,12,16,2,EOS
FALSE,other,FALSE,capital_common,other,FALSE,0,2,6,23,14,2,EOS
FALSE,other,FALSE,other,other,FALSE,0,4,5,179,261,2,EOS
FALSE,other,FALSE,np,other,FALSE,0,3,2,58,0,0,EOS
FALSE,other,FALSE,np,other,FALSE,0,3,8,15,0,0,EOS
FALSE,other,FALSE,capital_common,other,FALSE,0,2,7,269,35,2,EOS
FALSE,other,FALSE,capital_common,other,FALSE,0,3,4,19,45,2,EOS
FALSE,other,FALSE,capital_common,quotes,FALSE,0,5,2,271,8,1,EOS
FALSE,other,FALSE,capital_common,abbrev,FALSE,0,2,2,19,3,2,EOS
FALSE,other,FALSE,capital_common,other,FALSE,0,3,10,258,65,2,EOS
FALSE,other,FALSE,np,other,FALSE,1,3,7,41,0,0,EOS
FALSE,other,FALSE,capital_common,quotes,FALSE,0,3,2,8,22,1,EOS
FALSE,other,FALSE,other,title,FALSE,1,6,3,6,50,1,NEOS
FALSE,other,FALSE,capital_common,other,FALSE,0,1,7,32,100,1,EOS
FALSE,other,FALSE,other,other,FALSE,0,3,6,3,22,1,EOS
FALSE,other,FALSE,capital_common,other,FALSE,0,3,3,48,25,2,EOS
FALSE,other,FALSE,other,quotes,FALSE,0,4,2,3,32,2,EOS
FALSE,other,FALSE,capital_common,other,FALSE,1,3,8,41,48,2,EOS
FALSE,other,FALSE,capital_common,other,FALSE,0,4,7,46,68,2,EOS
FALSE,other,FALSE,capital_common,other,FALSE,0,4,7,127,339,2,EOS
FALSE,other,FALSE,capital_common,other,FALSE,0,2,9,33,66,2,EOS
FALSE,other,FALSE,np,quotes,FALSE,0,3,2,34,0,0,EOS
FALSE,other,FALSE,other,other,TRUE,4,1,7,15,17,0,NEOS
FALSE,other,FALSE,capital_common,other,FALSE,0,2,4,122,54,1,EOS
FALSE,other,FALSE,capital_common,other,FALSE,0,2,4,50,44,1,EOS
FALSE,other,FALSE,other,quotes,FALSE,0,4,2,65,61,2,EOS
FALSE,other,FALSE,capital_common,other,FALSE,0,3,7,23,14,2,EOS
FALSE,other,FALSE,other,other,FALSE,0,2,6,10,19,2,EOS
